Sample;40.control;41.control;70.control;42.stage1;81.stage1;85.stage1;82.stage2;77.stage2;30.stage2;78.stage3;80.stage3;25.stage3;39.stage4;24.stage4;76.stage4
ko:K00174;0.816583157;0.826989909;0.829708604;0.83897079;0.842029427;0.853259994;0.736659122;1.048.392.718;0.725957233;0.967392076;0.959782177;0.744322701;0.643527654;0.68312495;0.661811391
ko:K00175;0.752702265;0.85790405;0.692701284;0.910007218;0.867276895;0.875990636;0.854516562;0.873010184;0.803516366;0.688533624;0.932259698;0.795637162;1.087.211.416;1.271.235.165;0.943004059
ko:K00179;0.746905389;0.794362767;0.766134153;0.789390173;0.964709254;0.802002607;0.72990768;1.088.856.352;0.705220245;0.890929371;0.936077552;0.82155457;0.830215022;0.89986841;0.858009202
ko:K00180;0.765488095;0.842770631;0.686096801;0.824140298;0.753589651;0.816108667;0.795130493;0.78539641;0.797614487;0.862754161;0.908571091;0.729002356;0.541608784;0.598537658;0.644600856
ko:K00215;0.757010073;0.845748251;0.775192824;0.852500197;0.795329486;0.85738419;0.724593486;0.792986081;0.742782537;0.673316986;0.7586894;0.766205968;0.720327509;0.750298911;0.740793996
ko:K00261;1.206.815.714;1.010.272.492;0.787507939;0.935999797;1.054.300.641;0.930153468;1.173.389.152;1.424.902.885;1.402.272.607;0.834592947;0.976009951;0.884324947;1.672.454.108;1.021.794.808;1.007.213.107
ko:K00262;1.102.249.313;0.972729654;0.787507939;0.924693754;105.461.663;0.929801302;1.173.389.152;1.230.396.651;1.402.272.607;0.834592947;0.976009951;0.842233804;1.185.045.891;0.938574876;0.922866679
ko:K00266;0.853143215;0.813620833;0.849074938;0.82813201;0.877146343;0.879389813;0.747936535;0.907725223;0.78145303;0.814945042;0.803043177;0.791427076;1.044.437.629;0.785735162;0.808719385
ko:K00278;0.69826983;0.798579033;0.68581414;0.730391868;0.718905151;0.717712329;0.704613851;0.722352819;0.706396371;0.729715718;0.645602427;0.775698346;0.750606194;0.743385392;0.753708263
ko:K00283;0.797425758;0.781550631;0.731698931;0.834488554;0.78969913;0.850265876;0.794558354;0.696659807;0.779242217;0.959350505;0.741973829;0.868295296;0.819173226;0.811385219;0.769834582
ko:K00286;0.782381053;0.816080577;0.726044192;0.791274109;0.878761401;0.796068333;0.743848432;0.887056942;0.753341772;0.740839389;0.832988865;0.696151069;0.772886149;0.795255267;0.782681293
ko:K00287;0.851050782;0.86100162;0.733965528;0.827854934;0.70551789;0.831735585;0.753327798;0.794529582;0.666120145;0.548491448;0.627498999;0.805799921;0.859683803;0.727341643;0.722218706
ko:K00297;0.818156627;0.783394929;0.659984942;0.750306114;0.753289295;0.747387151;0.684898376;0.743491089;0.669521348;0.939027651;0.777744632;0.734185967;0.792548482;0.771724673;0.768365535
ko:K00335;0.832495508;0.804859998;0.834181749;0.878703302;0.90069363;0.813123226;0.900466536;1.059.871.762;0.709219436;0.750716313;0.705677063;0.847210451;0.717545163;0.820788957;0.827565492
ko:K00336;0.828449105;0.853872546;0.703381617;0.8152893;0.857648653;0.832810929;0.797214747;0.898405111;0.785413971;0.746575124;0.746540735;0.718628297;0.738837009;0.732768184;0.71505976
ko:K00375;0.74005467;0.7533327;0.619636568;0.726228372;0.725575775;0.756423617;0.683995708;0.781849349;0.695950409;0.729846284;0.665046516;0.67078064;0.661810224;0.692706361;0.694766064
ko:K00384;0.814938832;0.714090721;0.744802461;0.799718202;0.798245061;0.785408883;0.755264985;0.910127651;0.760024818;0.724732977;0.774031982;0.714887612;0.879691454;0.769692742;0.787872684
ko:K00525;0.855955801;0.830455889;0.735305213;0.743570743;0.713227221;0.778017931;0.734666555;0.995727951;0.805359349;0.598910794;0.586964724;0.864512502;0.635937348;0.600847383;0.714931255
ko:K00533;0.695852077;0.936227468;0.676924873;0.738631007;0.891444393;0.741274199;0.915395992;0.89947883;0.928720951;0.863737306;0.807532985;0.772217724;0.795694229;0.733666559;0.765254975
ko:K00548;0.773768224;0.761631946;0.632814451;0.733789781;0.738780383;0.741447978;0.759032686;0.784130216;0.768032049;0.733422798;0.765120922;0.742228565;0.723881909;0.731366103;0.766715146
ko:K00554;0.841417142;0.782211715;0.724260966;0.809198353;0.906640614;0.77970394;0.686721454;0.884806143;0.678338256;0.777389352;0.799984398;0.692982257;0.666118702;0.703544687;0.709816945
ko:K00558;0.821943981;0.984186986;0.707653119;0.90813863;0.897156271;0.952495425;0.798591297;0.815043556;0.781967378;0.939081578;0.867549277;0.713803971;0.799663407;0.817452444;0.837505266
ko:K00563;0.866945882;0.663319519;0.620352753;0.713633295;0.755227933;0.704310378;0.755983332;0.960620023;0.789783978;0.864093193;0.9630153;1.051.904.926;0.516786664;0.546307762;0.605533038
ko:K00566;0.78197328;0.748639785;0.712117293;0.784671825;0.768565742;0.796203494;0.753825661;0.9045951;0.706007805;0.740022416;0.734206932;0.698542421;0.725452326;0.690799209;0.699947529
ko:K00567;0.753446676;0.706084535;0.744184823;0.804840489;0.770303151;0.848344054;0.633317234;0.779378719;0.674091345;0.724369968;0.686927025;0.743683385;0.83423729;0.747473996;0.725846018
ko:K00571;0.751628988;0.797030371;0.791661154;0.730073886;0.898137301;0.881179544;0.644179694;0.960287456;0.727385352;1.023.602.382;0.919674455;0.676881673;0.623167655;0.820150955;0.713831811
ko:K00595;0.740253462;0.801586793;0.639782251;0.741157233;0.662287903;0.783242499;0.800735425;0.758003249;0.862006238;0.697490777;0.802479849;0.680602528;0.697294438;0.794822934;0.825262554
ko:K00600;0.839939973;0.993279169;0.7639015;0.910891691;1.034.646.053;0.898808949;0.933077171;109.397.118;0.925371376;0.709509682;0.79376708;0.768299945;0.576006519;1.050.173.267;1.087.251.688
ko:K00604;0.796870549;0.793809216;0.685887262;0.761565866;0.750755276;0.76062126;0.733009474;0.869704916;0.742962315;0.7550207;0.721618863;0.754347329;0.684902267;0.743709634;0.71019159
ko:K00609;0.790761766;0.808988196;0.725657303;0.79955278;0.90991153;0.812595981;0.77903858;1.016.684.458;0.742407613;0.923398234;0.89262432;0.917168336;0.831051437;0.861277903;0.85965862
ko:K00611;0.795228531;0.823550304;0.847461457;0.787916548;0.939526371;0.812968407;0.814297157;0.991042659;0.797576049;0.824055396;0.689479786;0.682590365;0.848905309;0.757689816;0.827616503
ko:K00615;0.83537196;0.887005861;0.780975174;0.807266985;0.86979532;0.822619498;0.788247614;1.113.553.009;0.777313588;0.858336147;0.877658197;0.877219974;0.762643153;0.837110882;0.874400955
ko:K00620;0.858614228;0.876267593;0.725329733;0.812194933;0.950675554;0.814688711;0.838226544;0.867666406;0.825018318;0.764781855;0.852386361;0.677759062;0.720448041;0.766233566;0.978183993
ko:K00633;0.889110789;0.740122945;0.658058756;0.737810095;0.835603726;0.727299915;0.655421492;0.800285538;0.599616111;0.716805331;0.910120898;0.768871317;0.713812746;0.727132526;0.716217798
ko:K00640;0.785821152;0.890331583;0.827419414;0.895059841;0.92565749;0.898061547;0.859337537;0.965734765;0.794107395;0.838835964;0.786844955;0.819856453;0.777738923;0.770848452;0.792042434
ko:K00645;0.823457116;0.797804083;0.75791871;0.90614875;0.831008238;0.887941356;0.828224801;0.787914064;0.814276296;0.736126471;0.671413566;0.777023717;0.784779684;0.817937582;0.843890826
ko:K00648;0.803366701;0.807117731;0.814182088;0.88472449;0.784354338;0.884535256;0.623010659;0.776512198;0.697698713;0.714765205;0.716154886;0.691552791;0.73526822;0.684585601;0.692224565
ko:K00651;0.722611659;0.746012152;0.667364081;0.69261221;0.806821701;0.721405393;0.716627694;0.735956046;0.65872148;0.689875249;0.770296923;0.658170654;0.662197505;0.692043199;0.746222135
ko:K00652;0.872925917;0.731776548;0.716050235;0.797877286;0.659842991;0.810738239;0.712135563;0.872680231;0.834520342;1.169.774.598;0.780758507;0.862243842;0.82496138;0.792714938;0.68323723
ko:K00655;0.77099896;0.764142478;0.766626706;0.826381926;0.80844207;0.790570678;0.744425684;0.768544383;0.733044717;0.668369403;0.692267872;0.739034531;0.73699116;0.680980613;0.674204015
ko:K00656;0.809853789;1.037.745.043;0.830470962;1.001.312.499;0.94894658;1.022.579.873;0.905429366;1.022.061.907;0.894212453;0.857568576;0.81335896;0.753247884;0.756951918;0.788603579;0.753965338
ko:K00661;0.837357581;0.817219634;0.777662006;0.782188443;0.821804479;0.769211414;0.845673735;0.745394165;0.916126794;0.947796999;0.93429975;0.791883587;0.802027338;0.851812846;0.795399929
ko:K00688;0.839864766;0.875445134;0.713712507;0.869171381;0.904265745;0.865652077;0.807499676;0.936945453;0.777257671;0.802400731;0.905891524;0.879378954;0.83214495;0.871331188;0.820566696
ko:K00700;0.785722583;0.766149935;0.643984676;0.718365564;0.742935508;0.720726121;0.698902445;0.756871509;0.662512005;0.626001542;0.739351709;0.659405881;0.668804758;0.689261179;0.700771115
ko:K00703;0.760393734;0.756157207;0.730798988;0.781617541;0.810035112;0.848129907;0.759117316;0.854289522;0.706833737;0.70916081;0.890650597;0.705006675;0.824338747;0.76624678;0.763544718
ko:K00705;0.762511394;0.732198852;0.689544656;0.733434689;0.795049368;0.727423066;0.74714123;0.916588907;0.735147427;0.69507417;0.771671766;0.704218741;0.716098906;0.696531992;0.741366196
ko:K00756;0.860286333;0.834970674;0.712555436;0.896342669;0.874997336;0.878867121;0.783608382;0.964613946;0.817105341;0.676518291;0.909639825;0.933457058;0.62346902;0.68317548;0.703607532
ko:K00758;0.73633222;0.849590595;0.680186685;0.848309361;0.787766701;0.723673259;0.752326434;0.964613946;0.73168025;0.676518291;0.720442915;0.697441194;0.62346902;0.68317548;0.703607532
ko:K00760;0.786496354;0.74261482;0.785695886;0.745217264;0.836581112;0.728243263;0.653064583;1.100.119.273;0.737072218;0.812766949;0.887183077;0.750984914;1.058.723.745;0.753058248;0.931034625
ko:K00761;0.840412995;0.865318809;0.781627164;0.857532343;0.93962161;0.874612055;0.874204654;0.662605322;0.923749655;0.61041155;1.205.510.169;0.802291766;1.162.879.792;1.086.200.909;0.974169622
ko:K00762;0.833969886;0.796820131;0.708529462;0.807767792;0.755652193;0.85596704;0.813341441;0.872764869;0.760402975;0.813413535;0.71057139;0.714004506;0.473056328;0.730843056;0.7637444
ko:K00763;0.782465663;0.736717941;0.747125023;0.758986018;0.829559872;0.770321563;0.754796186;0.911552076;0.780267532;0.742089348;0.937024647;0.653449463;0.740728706;0.670687416;0.677123636
ko:K00764;0.783369082;0.791900219;0.710649337;0.768854475;0.770109745;0.762283575;0.785902479;0.768521788;0.832725628;0.733327694;0.741183964;0.796426052;0.824913674;0.840798241;0.850400499
ko:K00765;0.811757225;0.828803315;0.667657598;0.789750476;0.862525999;0.84267087;0.808459459;0.773851729;0.810519957;0.896772328;1.352.038.706;0.82009062;0.751677813;0.818917084;0.817850107
ko:K00767;0.820807598;0.754519517;0.590493159;0.778643719;0.74200296;0.763013966;0.713956599;0.754374987;0.690439905;0.684675184;0.657255486;0.733453762;0.761105819;0.813590914;0.784467997
ko:K00768;0.688686551;0.75539171;0.653242757;0.749154518;0.810814262;0.789225802;0.709491097;0.884180699;0.702855904;0.729456862;0.707270181;0.686786116;0.801986941;0.721426627;0.682471751
ko:K00773;0.838806627;0.834101038;0.723454608;0.91724489;0.785801923;0.825558948;0.820756108;0.905644386;0.891138877;0.812615129;0.714718373;0.767700352;0.645623402;0.933769931;0.819728285
ko:K00783;0.848837956;0.763481135;0.688665848;0.73487998;0.858947239;0.800766383;0.736080453;0.854245479;0.829982234;0.883404899;0.750066131;0.800605243;0.894677859;0.871341952;0.817685432
ko:K00784;0.789200057;0.815957993;0.572345915;0.905371753;0.780857574;0.874251453;0.720284326;0.766086545;0.688582672;0.687773738;0.742706088;0.69527411;0.747779466;0.668914071;0.67944229
ko:K00788;0.696313143;0.751557759;0.66516004;0.762675479;0.708982165;0.773442913;0.689276883;0.798175227;0.745946361;0.682272011;0.710454388;0.791568298;0.727430945;0.703123091;0.710889437
ko:K00789;0.961339619;0.824452439;0.829029736;0.820607896;0.960156831;0.796517351;1.074.836.723;109.459.177;0.886953073;0.81704717;0.886367409;0.822724027;0.645847715;0.903926138;0.83951894
ko:K00790;0.794441903;0.818357375;0.744112335;0.779255565;0.811244959;0.769718417;0.776760923;0.869239051;0.750972456;0.719109727;0.839192481;0.647554241;0.785604171;0.786056321;0.85015119
ko:K00791;0.780181815;0.768867987;0.655781196;0.74683167;0.751124177;0.740993132;0.697494038;0.870232435;0.701934892;0.713478464;0.741676626;0.732382905;0.692141051;0.66548995;0.671236285
ko:K00793;0.662675207;0.756454373;0.659773839;0.734263244;0.706834654;0.734031207;0.731854921;0.715141643;0.716394831;0.658168283;0.77747449;0.702519876;0.668028403;0.716913137;0.766645767
ko:K00798;0.673437234;0.764273958;0.624083224;0.829745891;0.652052739;0.861076062;0.868760363;0.83764781;0.805897639;0.680333178;0.714281505;0.774151113;0.745874544;0.803440258;0.749447843
ko:K00800;0.803134507;0.761552029;0.806919688;0.732907612;0.825760506;0.720423404;0.728102123;0.990584132;0.735576209;0.741825569;0.807396852;0.746227925;0.882280678;0.771245627;0.809489861
ko:K00805;0.735222442;0.760683343;0.699164216;0.663761936;0.672309562;0.6974417;0.742309335;1.007.771.009;0.771208121;0.717120286;0.641039465;0.731088321;0.840360027;0.796859764;0.780792041
ko:K00806;0.811510789;0.753596427;0.725422232;0.76469759;0.757589529;0.734233454;0.80700065;0.896775011;0.80042706;0.686598624;0.693161784;0.740506436;0.701882984;0.768272871;0.734579863
ko:K00820;0.82263626;0.810932344;0.785831127;0.859058326;0.780220064;0.829869046;0.828520067;0.983186053;0.79788803;0.667539585;0.679548353;0.699103606;0.671176924;0.831570029;0.845627645
ko:K00821;0.858365691;0.840386135;0.687585058;0.810093232;0.775897614;0.805765587;0.70751633;0.898420748;0.650263935;0.701027723;0.720041244;0.734740737;0.889067853;0.756661807;0.820466215
ko:K00826;0.817146389;0.824236705;0.869291299;0.779099224;0.897448567;0.80233741;0.859040656;0.996534113;0.921281901;0.749888556;0.93457217;0.780746556;0.915150891;0.908875877;0.946081081
ko:K00831;0.775381552;0.765544378;0.742172976;0.806661886;1.069.368.752;0.797748019;0.777654872;1.150.050.923;0.719965017;0.593029391;0.758241769;0.74266224;1.084.874.913;1.014.800.732;0.830555145
ko:K00845;0.766439009;0.802334465;0.704704146;0.741876522;0.814217461;0.717903088;0.748578418;0.796652009;0.759501554;0.795740817;0.70835852;0.798626063;0.889413543;0.858731268;0.847500912
ko:K00847;0.800975876;0.814422592;0.642705521;0.872999149;0.72528305;0.863281867;0.71605583;0.802269835;0.667538853;0.659772944;0.741892143;0.750858959;0.829078295;0.762202003;0.76156484
ko:K00848;0.725283498;0.70486005;0.609216615;0.770634881;0.690366809;0.783586738;0.728085756;0.870670298;0.670349121;0.642459811;0.652002586;0.785352831;0.637833753;0.62076074;0.624137964
ko:K00849;0.784686601;0.809642285;0.733223406;0.841186336;0.807831439;0.823871836;0.885444033;0.817018389;0.829954473;0.729517887;0.81160502;0.867407836;0.748122794;0.717266763;0.732958319
ko:K00850;0.766267313;0.832951251;0.814335532;0.783020933;0.75530645;0.732816372;0.948885136;0.840671572;0.908452345;0.984952629;0.824806231;0.943942835;0.674303336;0.68412949;0.701248329
ko:K00852;0.756841308;0.774308647;0.747581597;0.739912624;0.80770454;0.737953351;0.768702811;1.029.326.813;0.710836508;0.756505176;0.710716593;0.81152136;0.939108038;0.905198707;0.851414693
ko:K00854;0.751585214;0.840954624;0.675662175;0.770242916;0.797541991;0.770699151;0.661860345;0.848024561;0.66171106;0.753905958;0.671105602;0.70033619;0.723385477;0.675181362;0.67862449
ko:K00858;0.741881189;0.723991591;0.729387978;0.737718481;0.781528117;0.731681204;0.775939414;0.787543589;0.819226744;0.782193895;0.708479753;0.74846074;0.717540544;0.67211095;0.664951962
ko:K00859;0.800628976;0.727026745;0.709277219;0.773457905;0.854069195;0.782496933;0.744027966;0.761118105;0.73815488;0.737987743;0.697273099;0.748327043;0.678138842;0.673108024;0.751399846
ko:K00864;0.811716609;0.833562437;0.771846319;0.757199729;0.772935985;0.752883505;0.804722179;0.774715769;0.806863271;0.73203931;0.644063244;0.844953617;0.655851259;0.725718586;0.71212638
ko:K00865;0.708792293;0.820153207;0.718158213;0.68138463;0.718923609;0.754473546;0.670578445;0.867315217;0.668599035;0.74645956;0.727654948;0.748567271;0.714432212;0.700380246;0.700830791
ko:K00868;0.781865205;0.767347515;0.661329517;0.709247388;0.767054195;0.716847962;0.747230242;0.937507293;0.770174419;0.649988338;0.730795573;0.782061293;0.719034742;0.688912587;0.741902318
ko:K00873;0.886904904;0.8731573;0.769329263;0.846968381;0.964536985;0.828007031;0.848688475;0.940918112;0.798899932;0.849506641;0.801033747;0.805108435;0.697792087;0.773860155;0.825937558
ko:K00876;0.808561572;0.876662769;0.691568632;0.820597299;0.845479783;0.818408288;0.743011415;0.801389366;0.743419947;0.720259727;0.739672505;0.781596209;0.645229735;0.677620221;0.690469673
ko:K00878;0.755677978;0.790990334;0.684452897;0.742054209;0.833346925;0.732100686;0.728028495;1.021.022.662;0.741362359;0.695128378;0.688065211;0.820243124;0.735229345;0.648616819;0.664276838
ko:K00882;0.812846144;0.850698227;0.846220514;0.886615977;0.82135391;0.83565943;0.714548785;0.863830116;0.769555406;0.762350134;0.789503499;0.7422056;0.803518622;0.74242716;0.78930958
ko:K00891;0.69159108;0.748397325;0.621883641;0.738610449;0.831118183;0.729499905;0.763822376;0.778277101;0.797508681;0.666624974;0.673272797;0.683107917;0.688878685;0.681869973;0.716929389
ko:K00919;0.76110776;0.750936622;0.728956742;0.713114616;0.748468156;0.719576058;0.87189854;0.827165084;0.864899793;0.656091276;0.7643532;0.735914802;0.772607034;0.836633727;0.723576696
ko:K00925;0.98993902;0.923816853;0.944533647;0.990895823;1.121.298.929;0.961259516;107.560.712;1.212.681.869;0.938149141;0.890152443;1.094.001.857;0.847042664;0.788321182;1.097.680.577;0.996800339
ko:K00927;0.971554425;0.977429209;0.929571672;1.021.099.784;1.041.954.852;1.002.325.801;130.839.308;1.056.367.828;1.206.603.826;0.946665938;1.146.832.289;0.909481378;0.838349609;0.953728641;0.948866088
ko:K00928;0.833575289;0.820009723;0.807649139;0.797494161;0.840844233;0.795113967;0.814497579;0.857418865;0.823594618;0.823497865;0.711574874;0.746796076;0.867749744;0.781974628;0.726556299
ko:K00929;0.758364668;0.894585587;0.81063182;0.731672591;0.808443701;0.736444016;0.907950338;1.113.112.929;0.86742674;1.035.012.561;1.148.749.139;0.813927504;1.140.772.763;1.406.054.535;1.143.687.817
ko:K00931;0.875879594;0.808406181;0.734551914;0.76907619;0.767098343;0.785140674;0.738022956;0.887047987;0.745121792;0.767853273;0.740633195;0.725110017;0.84795781;0.742188757;0.785389409
ko:K00937;0.73302901;0.752035288;0.716916775;0.725633163;0.817093706;0.718344875;0.709830434;0.756049834;0.703210225;0.690244024;0.753332305;0.687437896;0.713708592;0.667876432;0.686040941
ko:K00939;0.861192519;0.82759755;0.77910563;0.902787713;0.68966082;0.935800442;0.930341665;1.319.383.788;0.822308511;0.810895787;0.935152651;0.762133658;1.159.140.878;1.104.940.028;1.104.942.984
ko:K00941;0.751449182;0.76687085;0.688167491;0.773662191;0.735787936;0.7713896;0.710120027;0.865077882;0.748017021;0.70109648;0.736587411;0.733790582;0.720754077;0.718421531;0.759037386
ko:K00942;0.758666538;0.839149143;0.751012228;0.813988735;0.741787035;0.790086145;0.710443891;0.841486642;0.71404884;0.718985251;0.669574498;0.694370718;0.662102051;0.688646429;0.687771301
ko:K00943;0.841296874;0.765911383;0.704399851;0.710342534;0.770452598;0.753708849;0.862209502;1.107.069.552;0.820753003;0.83732453;0.752788594;0.77494131;0.785622583;0.901206234;0.814729411
ko:K00945;0.812953448;0.752846942;0.770779263;0.759429834;0.820409757;0.748197956;0.721130198;0.838754454;0.737779779;0.81433492;0.717551195;0.774538945;0.673717104;0.738123864;0.739400446
ko:K00948;0.808714777;0.792636799;0.774331668;0.793854743;0.924402719;0.767018837;0.868775466;0.84312855;0.949957159;0.919128675;0.875756914;0.788884043;0.759754439;1.024.443.949;0.877058849
ko:K00949;0.775401564;0.769718371;0.717401692;0.727420608;0.75456749;0.734437213;0.710410339;0.816233683;0.721495044;0.678649226;0.747523708;0.789025136;0.56631362;0.722944442;0.716976537
ko:K00951;0.847596965;0.762647954;0.832696995;0.824819898;0.847471023;0.807189489;0.864539912;0.773882672;0.81775188;0.83960769;0.971409725;0.733212671;0.764526254;0.772808746;0.82821344
ko:K00954;0.700903009;0.720735496;0.69920101;0.715065434;0.800605513;0.811175256;0.710385802;0.731421859;0.664361696;0.623510183;0.680919325;0.809728284;0.833648609;0.833989891;0.655238608
ko:K00962;0.972983267;0.911585097;0.971073321;0.950009541;1.086.789.146;0.969313784;1.013.600.651;1.164.525.834;1.046.551.497;0.876663565;0.921611288;0.861549014;1.058.046.048;0.968596452;0.987486466
ko:K00965;0.755847035;0.836124136;0.666874864;0.856646933;0.781877031;0.776535874;0.800061091;0.79236816;0.748237839;0.726769808;0.777138187;0.756603647;0.758412539;0.714007117;0.713327621
ko:K00969;0.754302428;0.78576106;0.682885318;0.76832474;0.779257445;0.769427961;0.740923642;0.814733352;0.760866896;0.694347333;0.686551106;0.735387968;0.695173501;0.760536958;0.732163544
ko:K00970;0.725342095;0.754111415;0.691334906;0.768899711;0.740000529;0.771972906;0.743562003;0.810563985;0.753135686;0.749639988;0.697062063;0.708961555;0.738120589;0.689569273;0.71031811
ko:K00971;0.735545071;0.817072015;0.699308047;0.811343321;0.74599585;0.786337991;0.782320005;0.734316485;0.793358736;0.851876973;0.748129229;0.825759946;0.683252884;0.641187417;0.877917479
ko:K00974;0.77884795;0.739190284;0.706733842;0.789877097;0.820555462;0.785963079;0.764977103;0.811034809;0.786675546;0.764895852;0.756008978;0.745477753;0.738120589;0.694610108;0.71031811
ko:K00975;0.780462712;0.811797682;0.721213019;0.775705559;0.800728051;0.762117883;0.794951682;0.995122842;0.796472857;0.708454284;0.743450742;0.717261036;0.823338367;0.757591395;0.783625086
ko:K00981;0.833971459;0.789726233;0.707688514;0.715683323;0.828491172;0.720010822;0.765645134;0.875011159;0.749036963;0.772555636;0.703990879;0.683761613;0.726512277;0.758402517;0.760118055
ko:K00991;0.852499915;0.834489224;0.694592593;0.806835245;0.792639654;0.807102293;0.687982769;0.780393987;0.722406198;0.71095862;0.738570993;0.762115686;0.679013736;0.729351142;0.761383907
ko:K00996;0.839821787;0.794252625;0.612822492;0.789037859;0.763273294;0.748647299;0.650612014;0.651912778;0.650613972;0.796373632;0.80887615;0.893799839;0.970696005;0.801426291;0.705889933
